1,የንግግር ነፃነት የግንኙነት መርህ ማለት ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
2,ለመግባባት ከሚረዱ ጉዳዮች ውስጥ የሚካተተው የቱ ነው?,ሀ. ፊደል,ለ. እድሜ,ሐ. ፃታ,መ. የትምህርት ደረጃ,,ሀ
3,የተቀዱ ድምጾችን በማዳመጥ አካል ጉዳተኞችን ለማስተማር ይረዳል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
4,ስልክና ፓስታ ከመገናኛ መሣሪያዎች ውስጥ ይካተታሉ?,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
5,በትራንስፖርት የተሰማራ ግለሰብ ለሥራ በሚሰማራበት ጊዜ ሊረዳው ከሚገባው ነገሮች ውስጥ የአካባቢውን<br>ባህልና ሀይማኖት መረዳት አለበት?,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
6,ከሌላው ወገን ጋር ተግባብቶ ለመሥራትና ግጭት ቢፈጠር በቀላሉ ግጭቱን ለማብረድ ወሳኙ ነጥብ?,ሀ. እራስን መቆጣጠር,ለ. ከአካባቢው በመራቅ ሁኔታውን መከታተል,ሐ. ሊያናድዱ የሚችሉ ቃላትን ከመሰንዘር መቆጠብ,መ. ሁሉም መልስ ይሆናሉ,,መ
7,ቋንቋ ማለት በአፍና በምልክት የሚነገር የመገናኛ ዘዴ ነው ?,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
8,በቡድን ሆኖ ሥራን ለማከናወን መሟላት ካለበት መሠረታዊ ነጥብ ውስጥ የሚመረጠው ሰው ሥራውን ጠንቅቆ ማወቅና ከሌሎች ጋራ ተግባብቶ የሚሠራ መሆን ይኖርበታል ?,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
9,አንድን ቡድን በመጀመሪያ ደረጃ ስናዋቅር ትኩረት ከምናደርግበት ጉዳይ ዋናው ለሥራው የተመደበው ገንዘብ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
10,ችግር ማስወገጃ እቅዶች የሚባሉት በአንድ የሥራ ክንውን ውስጥ ችግር ቢፈጠር ችግሩን ለመቅረፍ የሚረዳ ጉዳይ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
11,በቡድን ሥራ በሚከናወንበት ወቅት የቡድኑ አባል አመዛዛኝ መንፈስ ሊኖረው ይገባል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
12,የአንድ ሰውን ማንነት ለመቅረፅ ባህል ትልቅ አስተዋፅኦ ያደርጋል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
13,በሁለት አካላት መካከል አለመግባባት ቢፈጠር መወሰድ ከሚገባው እርምጃዎች ውስጥ የሚካተተው የቱ ነው ?,ሀ. እራስን መቆጣጠር,ለ. ከአካባቢው መራቅ,ሐ. አላስፈላጊ ቃላትን ከመሰንዘር መቆጠብ,መ. ሁሉም መልስ ይሆናሉ,,መ
14,ተደማምጦና ተቻችሎ የመሥራት ባህል መጥፋት በአንድ ቡድን ውስጥ የሚኖር አንድነትን አያጠናክርም፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
15,በሁለት አካላት መካከል የሚፈጠርን ግጭት ለማብረድ የሚረዳ መሳሪያ ባህል ይባላል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
